fips,state,country,county,aggregate_level,cases,deaths,recovered,cumulative_hospitalized,cumulative_icu,positive_tests,negative_tests,current_icu,current_hospitalized,current_ventilated,population,staffed_beds,licensed_beds,icu_beds,all_beds_occupancy_rate,icu_occupancy_rate,max_bed_count,hospital_beds_in_use_any,current_hospitalized_total,current_icu_total,contact_tracers_count
00066,GU,USA,,county,,,0,,,,,,,,,,,,,,,,,,
00069,MP,USA,,county,,,0,,,,,,,,,,,,,,,,,,
00072,PR,USA,,county,,,0,,,,,,,,,,,,,,,,,,
00078,VI,USA,,county,,,0,,,,,,,,,,,,,,,,,,
01,AL,USA,,state,103851,1847,0,12070,1270,103851,679838,,1506,,4903185,14903,19167,1553,0.6,0.7,19167,,,,404
01001,AL,USA,Autauga County,county,1215,23,0,,,1162,,,,,55869,55,85,6,0.62,0.53,85,,,,
01003,AL,USA,Baldwin County,county,3736,32,0,,,3670,,,,,223234,362,386,51,0.64,0.65,386,,,,
01005,AL,USA,Barbour County,county,643,6,0,,,579,,,,,24686,30,74,5,0.43,0.42,74,,,,
01007,AL,USA,Bibb County,county,455,6,0,,,444,,,,,22394,25,35,0,0.37,,35,,,,
01009,AL,USA,Blount County,county,958,5,0,,,816,,,,,57826,25,25,6,0.5,0.34,25,,,,
01011,AL,USA,Bullock County,county,489,12,0,,,481,,,,,10101,30,61,0,0.21,,61,,,,
01013,AL,USA,Butler County,county,785,37,0,,,770,,,,,19448,66,94,7,0.18,0.38,94,,,,
01015,AL,USA,Calhoun County,county,1914,19,0,,,1819,,,,,113605,446,590,24,0.49,0.94,590,,,,
01017,AL,USA,Chambers County,county,916,38,0,,,847,,,,,33254,0,115,0,,,115,,,,
01019,AL,USA,Cherokee County,county,307,9,0,,,276,,,,,26196,45,60,0,0.24,,60,,,,
01021,AL,USA,Chilton County,county,870,12,0,,,818,,,,,44428,26,30,6,0.28,0.09,30,,,,
01023,AL,USA,Choctaw County,county,294,12,0,,,289,,,,,12589,25,25,0,0.23,,25,,,,
01025,AL,USA,Clarke County,county,856,10,0,,,826,,,,,23622,56,85,0,0.3,,85,,,,
01027,AL,USA,Clay County,county,274,5,0,,,267,,,,,13235,46,46,4,0.29,0.41,46,,,,
01029,AL,USA,Cleburne County,county,134,1,0,,,129,,,,,14910,,,,,,,,,,
01031,AL,USA,Coffee County,county,815,6,0,,,765,,,,,52342,99,131,7,0.28,0.34,131,,,,
01033,AL,USA,Colbert County,county,1242,17,0,,,1215,,,,,55241,300,383,22,0.3,0.33,383,,,,
01035,AL,USA,Conecuh County,county,421,10,0,,,393,,,,,12067,44,58,0,0.29,,58,,,,
01037,AL,USA,Coosa County,county,120,3,0,,,105,,,,,10663,,,,,,,,,,
01039,AL,USA,Covington County,county,889,22,0,,,740,,,,,37049,128,187,13,0.32,0.68,187,,,,
01041,AL,USA,Crenshaw County,county,359,7,0,,,332,,,,,13772,29,93,0,0.12,,93,,,,
01043,AL,USA,Cullman County,county,1322,12,0,,,1230,,,,,83768,185,185,12,0.49,0.69,185,,,,
01045,AL,USA,Dale County,county,869,29,0,,,843,,,,,49172,77,89,6,0.28,0.24,89,,,,
01047,AL,USA,Dallas County,county,1444,24,0,,,1336,,,,,37196,109,175,23,0.43,0.7,175,,,,
01049,AL,USA,DeKalb County,county,1896,17,0,,,1834,,,,,71513,97,134,12,0.32,0.46,134,,,,
01051,AL,USA,Elmore County,county,1843,41,0,,,1760,,,,,81209,70,129,5,0.33,0.2,129,,,,
01053,AL,USA,Escambia County,county,1221,17,0,,,1088,,,,,36633,95,142,14,0.34,0.39,142,,,,
01055,AL,USA,Etowah County,county,2258,35,0,,,2180,,,,,102268,590,739,56,0.5,0.86,739,,,,
01057,AL,USA,Fayette County,county,237,5,0,,,223,,,,,16302,45,61,8,0.26,0.04,61,,,,
01059,AL,USA,Franklin County,county,1314,22,0,,,1297,,,,,31362,74,125,7,0.36,0.48,125,,,,
01061,AL,USA,Geneva County,county,285,3,0,,,265,,,,,26271,73,83,6,0.16,0.22,83,,,,
01063,AL,USA,Greene County,county,257,11,0,,,252,,,,,8111,20,20,0,0.06,,20,,,,
01065,AL,USA,Hale County,county,506,26,0,,,485,,,,,14651,28,39,0,0.25,,39,,,,
01067,AL,USA,Henry County,county,280,4,0,,,264,,,,,17205,,,,,,,,,,
01069,AL,USA,Houston County,county,1486,15,0,,,1428,,,,,105882,651,790,66,0.74,0.86,790,,,,
01071,AL,USA,Jackson County,county,1057,6,0,,,1026,,,,,51626,168,170,10,0.16,0.55,170,,,,
01073,AL,USA,Jefferson County,county,13653,248,0,,,13366,,,,,658573,3696,4732,477,0.72,0.75,4732,,,,
01075,AL,USA,Lamar County,county,238,2,0,,,230,,,,,13805,,,,,,,,,,
01077,AL,USA,Lauderdale County,county,1204,20,0,,,1190,,,,,92729,233,263,52,0.73,0.43,263,,,,
01079,AL,USA,Lawrence County,county,364,2,0,,,354,,,,,32924,43,98,6,0.16,0.02,98,,,,
01081,AL,USA,Lee County,county,2905,51,0,,,2708,,,,,164542,477,500,36,0.59,0.47,500,,,,
01083,AL,USA,Limestone County,county,1387,14,0,,,1359,,,,,98915,97,102,10,0.52,0.23,102,,,,
