Name,alpha_code,test_fraction,hosp_fraction,t0_date,R0,p1_to_p2_date,eps2,p2_to_p3_date,eps3,p3_to_p4_date,eps4,beta_1,beta_2,beta_3,beta_4,case_and_hosp_score,death_score,time
Alabama,AL,0.13034490312947486,1,2020-03-06,3.2612153327402202,2020-03-26,0.38748951771210816,2020-06-18,0.36273188087574204,2020-10-03,0.5535678701066447,0,0,0,0,124236.31479701641,139.8304011741491,2020-12-23T06:15:21Z
Alaska,AK,0.14152481170933098,0.653498048857577,2020-03-07,2,2020-03-25,0.5844150108413525,2020-06-15,0.5842428905751373,2020-09-30,0.7698471157879904,0,0,0,0,864.7118664033652,10.606591269198235,2020-12-23T06:23:09Z
Arizona,AZ,0.11655959234267478,1,2020-03-05,2.511132128029954,2020-03-27,0.6146056271739436,2020-06-15,0.4191683879848715,2020-09-26,0.8059215531879349,0,0,0,0,439568.3257294167,457.0034052973377,2020-12-23T06:28:12Z
Arkansas,AR,0.18711017122725557,1,2020-03-02,2.3107001122099473,2020-03-27,0.5544734796640239,2020-06-17,0.48688073787155783,2020-09-29,0.6436829774133812,0,0,0,0,19919.737622581357,40.46435395341409,2020-12-23T06:39:39Z
California,CA,0.05814200962833718,0.507467778837723,2020-02-21,2.6952908780454172,2020-04-08,0.40939516672349174,2020-05-31,0.4935600523756144,2020-10-12,1.0082865023915457,0,0,0,0,4822299.119395095,38495.59443377178,2020-12-23T06:46:48Z
Colorado,CO,0.0748636992551084,0.9511214586848369,2020-03-01,3.407350891910455,2020-03-31,0.257756108250794,2020-06-14,0.3563681054839743,2020-09-30,0.5766300492579782,0,0,0,0,74281.46039436653,1546.0006078049914,2020-12-23T06:53:57Z
Connecticut,CT,0.06651847185122567,1,2020-03-03,4.416824978498378,2020-03-26,0.2,2020-06-15,0.28751290136994767,2020-09-27,0.5416743830099338,0,0,0,0,119524.63641528721,705.4817322988292,2020-12-23T07:01:38Z
Delaware,DE,0.09087788017819282,0.9999875553098617,2020-02-27,2.5479597326889745,2020-04-01,0.3761730023521927,2020-06-19,0.48761237343209235,2020-10-06,0.7461992218275775,0,0,0,0,3973.3860625572315,17.665533907284836,2020-12-23T07:12:52Z
District of Columbia,DC,0.04595223746956321,1,2020-03-02,3.0107696267181394,2020-04-01,0.3746239945480882,2020-06-26,0.5162971460659338,2020-09-28,0.8654724577712333,0,0,0,0,987.9916914697353,10.011639238513121,2020-12-23T07:21:28Z
Florida,FL,0.06498393128678787,0.5,2020-03-09,2.1077108252780006,2020-03-23,0.8777629822699681,2020-06-19,0.6299144989747792,2020-09-30,1.449104892736942,0,0,0,0,1260897.149572601,20354.359835059677,2020-12-23T07:30:39Z
Georgia,GA,0.06884718113498534,0.5,2020-03-01,2.9058159503892727,2020-03-31,0.43544512807631447,2020-06-14,0.47727869210240964,2020-10-01,0.9317541012442347,0,0,0,0,1316337.6971080024,3183.955980355497,2020-12-23T07:37:39Z
Hawaii,HI,0.031210401790172215,0.5,2020-03-02,2.336500332788217,2020-03-30,0.4619087278849649,2020-06-14,0.56976975600754165,2020-09-30,0.5888986981532852,0,0,0,0,3535.480495470031,51.104085552656365,2020-12-23T07:43:19Z
