case_id,confirmed_date,state_name,county_name,confirmed_count,death_count,recovered_count
1,2020-01-27,ON,Toronto Public Health,1,0,0
2,2020-01-28,BC,Vancouver Coastal Health Region,1,0,0
3,2020-01-28,ON,Toronto Public Health,1,0,0
4,2020-01-31,ON,Middlesex-London Health Unit,1,0,0
5,2020-02-04,BC,Vancouver Coastal Health Region,1,0,0
6,2020-02-06,BC,Vancouver Coastal Health Region,2,0,0
7,2020-02-14,BC,Interior Health Region,1,0,0
8,2020-02-20,BC,Fraser Health Region,1,0,0
9,2020-02-23,ON,Toronto Public Health,1,0,0
10,2020-02-24,BC,Fraser Health Region,1,0,0
11,2020-02-26,ON,Toronto Public Health,1,0,0
12,2020-02-27,QC,Montreal,1,0,0
13,2020-02-27,ON,Toronto Public Health,1,0,0
14,2020-02-28,ON,Toronto Public Health,2,0,0
15,2020-02-29,BC,Vancouver Coastal Health Region,1,0,0
16,2020-02-29,ON,Durham Region Health Department,2,0,0
17,2020-02-29,ON,York Region Public Health Services,1,0,0
18,2020-03-01,ON,Toronto Public Health,1,0,0
19,2020-03-01,ON,York Region Public Health Services,3,0,0
20,2020-03-02,BC,Fraser Health Region,-2,0,0
21,2020-03-02,BC,Interior Health Region,-1,0,0
22,2020-03-02,BC,Out of Canada Region,1,0,0
23,2020-03-02,BC,Vancouver Coastal Health Region,2,0,0
24,2020-03-02,ON,Toronto Public Health,3,0,0
25,2020-03-03,BC,Fraser Health Region,3,0,0
26,2020-03-03,BC,Interior Health Region,1,0,0
27,2020-03-03,BC,Out of Canada Region,-1,0,0
28,2020-03-03,BC,Vancouver Coastal Health Region,1,0,0
29,2020-03-03,ON,York Region Public Health Services,2,0,0
30,2020-03-04,BC,Vancouver Coastal Health Region,1,0,0
31,2020-03-05,AB,Unassigned,1,0,0
32,2020-03-05,BC,Fraser Health Region,2,0,0
33,2020-03-05,BC,Vancouver Coastal Health Region,6,0,0
34,2020-03-05,REP,Mississauga,1,0,0
35,2020-03-05,QC,Monteregie,2,0,0
36,2020-03-05,ON,Toronto Public Health,2,0,0
37,2020-03-05,ON,Region of Waterloo Public Health,1,0,0
38,2020-03-06,AB,Calgary Zone,1,0,0
39,2020-03-06,ON,Peel Region Public Health,2,0,0
40,2020-03-06,ON,Toronto Public Health,2,0,0
41,2020-03-06,ON,York Region Public Health Services,1,0,0
42,2020-03-07,AB,Calgary Zone,-1,0,0
43,2020-03-07,AB,Unassigned,1,0,0
