Name,alpha_code,fip,test_fraction,hosp_fraction,t0_date,R0,p1_to_p2_date,eps2,p2_to_p3_date,eps3,p3_to_p4_date,eps4,beta_1,beta_2,beta_3,beta_4,case_and_hosp_score,death_score,time
Alabama,AL,1,0.1250328349535983,0.9886336776261886,2020-03-03,2.7904735913289147,2020-03-29,0.44510300285239823,2020-06-14,0.4274315107256459,2020-09-28,0.6394694262406454,0,0,0,0,130257.40883354099,167.4681594320003,2020-12-13T07:32:11Z
Alaska,AK,2,0.1392885313602919,0.6453516948965591,2020-03-07,2,2020-03-25,0.5919951355258898,2020-06-15,0.5841875872126483,2020-09-30,0.7756313829763758,0,0,0,0,864.6822215495007,11.211863266211289,2020-12-13T07:39:36Z
Arizona,AZ,4,0.10766980259778626,0.9306835093702693,2020-03-07,2.430052145741522,2020-04-01,0.642014038016706,2020-06-18,0.4330043730425206,2020-10-01,0.9108330577439838,0,0,0,0,393298.2041233579,459.9674292547584,2020-12-13T07:48:37Z
Arkansas,AR,5,0.18903828616495708,1,2020-03-05,2.262552005459017,2020-03-27,0.5835934599501389,2020-06-15,0.4931914724379193,2020-09-28,0.6480252555142423,0,0,0,0,20214.320579156025,41.40424822726436,2020-12-13T07:58:59Z
California,CA,6,0.080345874266218,0.76361484748592,2020-03-03,4.19546405510532,2020-03-27,0.27866150594333794,2020-06-07,0.2882388977813833,2020-10-13,0.5060668752915279,0,0,0,0,4733087.960507278,14391.501769547524,2020-12-16T05:41:40Z
Colorado,CO,8,0.07448220080632954,0.9529936917427577,2020-03-01,3.4457141058252567,2020-03-31,0.254617736342602,2020-06-14,0.3526349392492514,2020-09-30,0.5726574107077439,0,0,0,0,74016.79979282306,1604.7270861309705,2020-12-13T08:12:27Z
Connecticut,CT,9,0.06657644578161775,1,2020-03-01,4.201156357616625,2020-03-25,0.21432056299701935,2020-06-15,0.30523082823784525,2020-09-28,0.5752273166852025,0,0,0,0,119276.07288158074,694.1523412934366,2020-12-13T08:19:04Z
Delaware,DE,10,0.09323352802413194,1,2020-03-11,2.6705475534121734,2020-04-01,0.3702651533911165,2020-06-16,0.4486974062587128,2020-10-01,0.6538996681895362,0,0,0,0,4422.604144110536,17.04151442335082,2020-12-13T08:30:04Z
District of Columbia,DC,11,0.042219278728267695,0.883383317738641,2020-02-29,3.067041604319995,2020-03-30,0.3832276453872831,2020-06-18,0.5323527626013179,2020-10-01,0.9983315700283214,0,0,0,0,1030.6355319970053,11.191946681381856,2020-12-13T08:38:10Z
Florida,FL,12,0.08117256530502315,0.5,2020-02-29,2,2020-04-02,0.838758518593416,2020-06-21,0.6241107361569078,2020-10-03,1.2583882049217832,0,0,0,0,1170449.2878219972,9760.944869645109,2020-12-16T05:34:22Z
Georgia,GA,13,0.06777040691367403,0.5,2020-02-29,2.946754566392476,2020-04-01,0.42279606457079477,2020-06-14,0.47663156319672906,2020-10-01,0.9483624202602129,0,0,0,0,1315818.2569960968,3430.177294684017,2020-12-13T08:54:48Z
