Name,alpha_code,test_fraction,hosp_fraction,t0_date,R0,p1_to_p2_date,eps2,p2_to_p3_date,eps3,p3_to_p4_date,eps4,beta_1,beta_2,beta_3,beta_4,case_and_hosp_score,death_score,time
ALBERTA,AB,0.11042815692302768,0.5045036174862794,2020-03-02,2.898785694453195,2020-03-29,0.31635592495012466,2020-06-13,0.392333308818327,2020-09-27,0.47984204587899887,0.5843145019271117,0.1848513547189228,0.22924604193159642,0.2803786660414735,14485.453481800296,39.603416485845976,2020-12-30T18:56:28Z
BRITISH COLUMBIA,BC,0.03676429956611661,0.5,2020-03-03,3.53374394629478,2020-03-27,0.2,2020-06-13,0.36887040659265535,2020-09-26,0.39532720541156446,0.7084168764823711,0.1416833752964742,0.26131402126515113,0.2800564640461652,17685.25426642029,178.70568601177405,2020-12-30T19:01:39Z
CANADA,CA,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-29T22:32:32Z
MANITOBA,MB,0.02432160042242754,0.5,2020-03-05,2.5546742509995504,2020-03-27,0.2773841236152973,2020-06-14,0.5636756262890106,2020-09-28,0.6674917997197756,0.5143121917480843,0.1426620365727051,0.2899052467916751,0.3432991704877511,494.9820500348032,134.30552093698648,2020-12-30T04:24:33Z
NEW BRUNSWICK,NB,0.49862130742724114,0.5821259201076892,2020-03-14,2.264674253416923,2020-03-18,0.386635510848136,2020-06-13,0.14105055708512917,2020-09-30,1.436201106575931,0.44906599642451106,0.17362486093211807,0.06334100896366592,0.6449490809905059,18.781883543482905,0.01933015143432325,2020-12-30T19:05:54Z
NEWFOUNDLAND AND LABRADOR,NL,0.1201953444543793,1,2020-03-03,2.692583621832504,2020-03-19,0.2,2020-06-13,0.44883366406494496,2020-09-30,0.43294598115858307,0.5374328872652361,0.10748657745304722,0.2412179719802584,0.2326794086839378,2.0362050338270326,0.030314145200806292,2020-12-30T19:15:07Z
NOVA SCOTIA,NS,0.16833278574411104,0.62393680091903,2020-03-03,2,2020-04-06,0.30212773320464864,2020-06-20,0.5191986639348511,2020-09-30,0.7011680305842017,0.4033550351618789,0.12186474245013983,0.20942139534744245,0.28281965563067607,15.270740797935577,0.42316916909607555,2020-12-30T19:26:13Z
NORTHWEST TERRITORIES,NT,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-29T22:32:32Z
NUNAVUT,NU,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-29T22:32:32Z
ONTARIO,ON,0.06812213991500775,0.9999626031492733,2020-02-08,2.1862110560912154,2020-04-08,0.3701585720988882,2020-07-08,0.5753625624174729,2020-10-03,0.5948245299770896,0.44507331366756414,0.16474770226650612,0.25607852221540534,0.26474052460765457,39953.85405042347,487.49266381421666,2020-12-30T19:37:01Z
PRINCE EDWARD ISLAND,PE,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-29T22:32:32Z
QUEBEC,QC,0.03184360391812569,0.5,2020-02-29,3.681002384141005,2020-03-31,0.2737276299653222,2020-07-01,0.3641720009366535,2020-09-10,0.5190423377067616,0.7416978380928236,0.20302319137155186,0.2701055857886536,0.38497257975575033,82036.6906340835,1307.6310940150208,2020-12-30T19:44:53Z
SASKATCHEWAN,SK,0.4999534816136299,0.5098297484839526,2020-03-14,2.223648172474134,2020-03-18,0.2,2020-06-15,0.25471227356604964,2020-09-29,1.9997645542490943,0.44376064912665086,0.08875212982533018,0.11303128385819526,0.8874168166940457,4654.06396380093,0.24717827100505063,2020-12-30T23:56:56Z
YUKON,YT,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-29T22:32:32Z
