Date,State,S,E,A,I1,R,D,I2,I3,I1_increase
2020-03-05,Alabama,4903162.909982124,12.049100659546264,0,10.040917216288554,0,0,0,0,0
2020-03-06,Alabama,4903154.8624708345,14.682931728168404,0,13.098510518219305,2.3198468716501965,4.6878751000323677e-4,0.024841842673487574,0.010929416809269689,0.5283440603253575
2020-03-07,Alabama,4903144.485704106,18.359157104639785,0,16.7618562401133,5.313937295594684,0.0019833091485196193,0.053554011372241486,0.023807933108456653,0.6539343072187237
2020-03-08,Alabama,4903131.254692122,23.16424159869806,0,21.315907683271718,9.134052957443018,0.004734753524043456,0.08724175902142553,0.039129125644385684,0.822322073056119
2020-03-09,Alabama,4903114.448001365,29.320430757020677,0,27.04880122385595,13.988729686128247,0.008966292909961556,0.12747153388070376,0.05759914073310403,1.0394277145744484
2020-03-10,Alabama,4903093.127305382,37.151123301075394,0,34.300961416851784,20.149212695204476,0.014994035674334424,0.1762652966440455,0.08013787255023173,1.3165467668183137
2020-03-11,Alabama,4903066.091915021,47.09010288622833,0,43.488036982768044,27.96261299171859,0.023225407974642627,0.2361872387738784,0.10791947134083885,1.6685113856319478
2020-03-12,Alabama,4903031.774040882,59.71001501875651,0,55.14651946202713,37.88220861562578,0.034199711691124145,0.3105481296974056,0.14246817936684597,2.1175963263179023
2020-03-13,Alabama,4902988.273410085,75.70759911056645,0,69.9240160995096,50.45743662435684,0.04857551910957112,0.4033371068664252,0.18562545352915152,2.684139213135562
2020-03-14,Alabama,4902933.128813832,95.98825395198818,0,88.65629230115569,66.39996940932943,0.06721233926715185,0.5196899031206511,0.2397682619369544,3.4025202106068644
2020-03-15,Alabama,4902863.161164401,121.72167469439283,0,112.42263983320419,86.62912245334368,0.09122662010843618,0.6662128683346484,0.30795912828799116,4.317006368756197
2020-03-16,Alabama,4902774.517553642,154.32446113402884,0,142.5320823629964,112.25912881081847,0.12197592209379428,0.8508939601086655,0.39390416614131707,5.4692622131787445
2020-03-17,Alabama,4902662.206483276,195.6309399728484,0,180.68127863607864,144.73361662112848,0.16122463794563918,1.084058951963005,0.5023979033814517,6.929639849664098
2020-03-18,Alabama,4902519.864027599,247.9799486982311,0,229.03309071857598,185.89330245404062,0.21122675593733492,1.3788557274722348,0.6395480463644108,8.78284295118548
2020-03-19,Alabama,4902339.37289077,314.35565359662405,0,290.3450701559723,238.08633926632203,0.27486083712885045,1.7520435932218452,0.813141779887817,11.137009981236744
2020-03-20,Alabama,4902110.539569728,398.50617528169664,0,368.07907343460187,304.2618223347899,0.35574510342785415,2.2246588739999282,1.0329552432427636,14.12020927673029
2020-03-21,Alabama,4901820.399457258,505.1988839960378,0,466.6370123133288,388.1712884043913,0.45848489956172894,2.8234520159626264,1.3114211119276007,17.903411765582383
2020-03-22,Alabama,4901452.622061173,640.4360719860063,0,591.5654003660858,494.54127004502124,0.5888860752858194,3.582111989202191,1.664198364805754,22.694587180643758
2020-03-23,Alabama,4900986.517483229,811.8176887193453,0,749.8945270149493,629.361547957919,0.7543101544015562,4.543317162419986,2.1111257613283856,28.763266327656993
